,humidity,temp,clouds,wind_speed,longitude,latitude
Aanekoski,82,48.83,100,12.82,145.57,43.32
Aasiaat,83,33.21,54,6.51,-56.15,72.79
Abu Dhabi,11,94.54,0,15.19,-13.05,20.52
Abu Kamal,82,57.0,7,1.01,14.28,-22.12
Acapulco,82,75.33,100,17.16,-134.97,-23.12
Afsin,36,66.0,0,5.99,26.89,-33.59
Ahipara,50,76.73,75,13.87,-73.48,45.36
Ahmadpur Sial,77,82.4,100,19.01,81.12,6.12
Airai,92,28.4,40,13.87,-68.31,-54.81
Akdepe,91,77.29,100,6.04,74.49,15.34
Aklavik,39,58.1,100,7.85,114.09,71.97
Albany,75,46.18,20,9.17,-51.74,64.17
Aldan,36,61.92,0,9.73,30.45,-30.74
Alekseyevsk,87,51.8,90,2.24,-173.23,64.42
Alice Springs,93,53.26,75,17.22,18.42,-33.93
Alofi,49,48.2,5,21.92,-68.59,70.47
Altay,54,80.73,1,12.75,-99.24,30.3
Alto Longa,29,86.05,1,5.82,-74.31,40.8
Amapa,34,76.98,0,16.11,59.39,42.05
Amberley,62,61.2,0,13.87,137.76,-32.49
Ambilobe,77,60.8,75,4.47,112.4,66.42
Amga,78,82.93,3,19.6,-47.36,-0.61
Anadyr,88,41.99,100,9.82,156.12,50.68
Andapa,74,81.45,90,11.41,-159.32,22.08
Andilamena,98,39.0,10,21.18,115.35,-33.64
Antofagasta,69,35.6,75,18.34,15.63,78.22
Arman,93,64.35,75,8.05,-70.1,41.28
Arraial do Cabo,88,68.47,5,8.05,-4.62,48.38
Arrifes,74,35.62,41,3.11,78.62,30.78
Asosa,93,55.6,20,5.82,150.85,-34.58
Aswan,80,50.69,95,5.82,63.78,67.55
Atar,75,83.2,44,16.35,72.64,10.57
Atuona,83,53.87,0,2.28,-7.35,40.36
Avarua,78,58.7,71,5.12,-70.2,-22.09
Avera,69,75.47,90,8.05,-155.08,19.71
Awbari,93,56.55,90,13.42,30.79,59.7
Axim,88,73.4,0,3.36,-41.05,-21.64
Ayan,56,65.7,0,11.41,-8.45,37.14
Aykhal,74,80.84,0,13.35,-139.03,-9.8
Baculin,62,46.99,42,5.01,169.85,-46.28
Badnawar,74,84.2,75,17.22,-94.69,18.26
Ballina,82,53.96,45,11.41,20.04,-34.53
Bam,62,86.74,75,10.29,-93.73,32.52
Bambous Virieux,75,81.88,63,9.35,152.44,-3.66
Bandarbeyla,66,66.33,47,22.91,149.07,-23.58
Bang Krathum,84,79.29,83,23.53,140.4,-8.49
Banjarmasin,81,48.0,4,5.01,168.86,-46.19
Bara,83,65.21,0,6.22,45.17,-21.68
Barahona,69,74.34,0,17.22,-90.35,-0.74
Barrow,48,76.59,60,22.5,-102.4,27.32
Basugaon,91,69.89,0,2.95,49.05,-13.19
Bathsheba,74,28.18,40,14.99,-70.91,-53.16
Bay Roberts,62,53.71,75,10.29,147.26,-43.03
Baykit,48,30.8,2,8.1,-67.52,-46.43
Belmonte,69,83.77,100,5.28,73.08,-0.6
Bera,70,70.56,100,16.51,-109.46,49.91
Bereda,60,68.0,75,6.93,-105.3,55.1
Berezovka,94,75.04,75,3.36,131.31,31.65
Berezovyy,37,70.79,29,3.38,124.71,52.34
Beringovskiy,66,53.38,75,9.17,147.33,-42.88
Beroroha,81,74.65,1,15.97,9.26,-1.57
Bethel,84,64.62,0,17.31,-114.04,27.97
Beyneu,64,69.71,0,6.93,-43.81,-20.25
Biggar,64,66.37,9,7.49,-46.0,-20.63
Bilibino,69,50.26,0,1.39,176.59,-39.94
Birao,62,87.19,1,10.29,-94.76,39.95
Biskamzha,60,50.0,71,7.7,70.83,66.83
Blagoyevo,98,66.85,21,3.62,-38.08,-11.94
Blairmore,80,77.54,11,19.82,43.28,-11.38
Bluff,93,57.2,40,0.94,38.73,8.96
Bonavista,86,33.8,0,5.82,-73.76,-42.48
Bonita,78,73.17,75,16.11,57.7,-20.41
Bonthe,34,70.33,100,0.4,135.7,51.67
Bossier City,88,77.85,75,9.17,-58.16,6.8
Bozeman,58,72.67,0,3.04,125.41,-8.93
Brae,87,58.3,75,3.36,-113.32,49.2
Bredasdorp,92,70.58,4,4.59,-35.22,-9.01
Bridlington,37,78.04,40,12.75,-73.75,42.65
Brighton,97,58.55,25,3.2,49.65,-14.66
Broken Hill,80,39.2,75,9.17,-51.1,69.22
Broome,58,48.94,100,17.69,-60.23,-38.31
Bud,58,59.0,90,13.87,140.78,-37.83
Bunde,35,71.6,75,4.7,-97.86,55.74
Burnie,93,57.27,75,4.7,17.74,53.95
Burns Lake,60,71.02,1,16.11,-120.46,34.64
Busselton,79,84.2,40,11.41,-71.1,18.21
Butaritari,76,70.67,92,23.94,38.32,4.06
Butembo,47,72.21,1,5.82,-131.65,55.34
Cabo San Lucas,100,61.79,36,4.7,-7.54,43.27
Camacha,81,62.01,0,3.44,-46.24,-22.19
Camacupa,94,80.6,75,9.17,54.1,17.01
Camargo,76,52.86,36,17.22,5.22,59.36
Cambridge,42,69.03,22,6.78,135.31,54.72
Cape Town,86,73.84,0,21.85,-24.5,14.9
Carauari,73,45.38,94,11.21,128.87,71.64
Cardston,38,60.5,0,11.34,147.9,70.62
Carnarvon,96,50.78,100,17.22,44.85,54.7
Castro,81,44.6,40,10.29,-133.03,69.44
Cayenne,78,80.28,20,12.75,-38.6,-3.71
Cervo,77,60.8,75,4.47,111.51,65.95
Cetraro,59,70.76,33,13.18,-107.98,52.06
Chanika,100,69.8,75,8.05,136.9,37.4
Chapais,68,68.0,20,5.82,-74.86,49.78
Charters Towers,26,82.4,75,6.93,-128.69,54.02
Cherskiy,95,51.44,83,8.99,19.24,-34.42
Chipata,25,63.23,0,7.18,27.91,-33.02
Chokurdakh,82,57.2,36,11.41,20.44,-34.02
Chumikan,22,38.74,13,13.91,-66.82,-20.46
Chumphon,98,39.0,7,1.54,116.15,-33.36
Chuy,65,77.77,0,5.82,-0.6,45.6
Cidreira,87,60.76,90,7.72,153.24,-28.95
Clifton,87,77.6,100,10.83,75.23,23.02
Clyde River,86,54.68,19,12.95,16.43,-28.55
Coahuayana,63,52.72,63,4.61,47.92,63.37
Codrington,60,74.28,0,3.13,22.34,39.45
College,96,33.8,84,4.74,80.55,73.51
Collie,97,65.36,100,4.14,110.78,32.65
Colmar,43,85.82,1,3.36,-74.98,39.31
Concordia,37,65.29,30,2.71,142.86,48.99
Constitucion,79,77.2,14,1.43,115.51,-2.54
Coolum Beach,61,68.67,95,13.38,123.37,66.77
Coquimbo,71,49.71,0,12.75,174.78,-41.29
Corrente,89,75.47,5,0.65,-66.9,-4.88
Daru,47,67.77,99,3.8,136.49,52.42
Delitzsch,38,77.0,75,9.17,-86.95,49.72
Denpasar,70,84.06,1,11.03,172.79,3.07
Deputatskiy,93,48.2,0,1.12,15.16,-26.65
Diego de Almagro,69,80.6,20,12.75,-80.41,-0.59
Dikson,61,61.61,0,16.71,138.6,-33.21
Dingle,44,95.0,0,3.36,-87.45,13.43
Drovyanaya,56,71.08,40,5.82,-161.76,60.79
Dunedin,74,86.0,40,6.93,-88.94,16.17
East London,62,53.74,75,10.29,147.06,-42.78
Edd,78,52.61,69,4.76,-55.16,47.17
Entre Rios,61,82.4,20,13.87,-76.46,3.18
Esperance,38,61.84,40,2.24,-135.01,68.22
Eureka,48,90.91,75,19.46,-109.91,22.89
Evensk,93,50.32,90,3.36,-52.73,47.66
Ewa Beach,48,91.08,38,28.14,49.87,11.47
Eyl,91,47.56,100,2.89,138.33,46.54
Faanui,24,62.35,40,10.29,-114.38,62.45
Fairbanks,91,76.03,29,4.68,-72.13,2.89
Farafangana,77,58.42,3,6.93,14.51,-22.95
Fare,88,78.39,100,3.89,109.83,27.21
Faya,83,48.0,100,1.99,11.24,64.86
Fereydunshahr,77,59.16,0,8.05,5.73,50.9
Flinders,28,46.31,0,14.85,22.13,-30.97
Fortuna,83,82.4,90,10.29,134.26,7.04
Fujin,15,86.0,75,14.99,-104.67,23.99
Galle,81,79.06,67,13.73,-151.75,-16.48
Gallup,72,60.58,20,13.87,-124.16,40.6
Gamba,83,47.86,0,4.09,30.22,-13.23
Gambela,78,81.68,90,6.93,-158.01,21.32
Gamboula,87,76.9,100,10.51,-2.24,4.87
Garoua Boulai,82,58.86,20,12.75,1.95,50.95
Georgetown,94,71.56,75,9.17,139.58,38.29
Geraldton,81,48.0,64,5.01,167.69,-46.13
Ginda,100,53.91,90,17.22,-22.43,63.84
Gorontalo,81,74.95,69,4.38,10.6,10.41
Grand Gaube,88,60.55,0,12.1,-50.22,-30.17
Grande Prairie,78,46.99,39,18.16,77.78,64.92
Grindavik,88,72.07,85,1.07,101.85,3.79
Guerrero Negro,62,66.82,0,17.9,116.85,-20.74
Half Moon Bay,87,55.83,4,5.82,1.45,52.47
Hambantota,74,54.4,0,3.31,34.19,-12.93
Hamilton,52,88.95,75,9.17,-105.21,20.71
Hanting,17,66.83,0,3.53,58.36,29.11
Harper,88,77.09,75,1.12,140.83,35.73
Hasaki,76,84.06,100,14.61,150.8,-2.57
Hay River,51,80.01,1,8.01,-81.63,44.18
Helong,15,86.0,0,2.24,44.22,17.54
Henties Bay,86,63.14,17,16.73,-77.61,-11.1
Hermanus,63,62.98,0,11.41,25.82,47.81
Hilo,71,51.8,61,5.82,-46.05,60.91
Hithadhoo,88,67.73,25,0.89,23.44,-4.97
Hobart,94,53.14,100,14.38,42.61,55.71
Hobyo,94,75.65,100,2.24,-67.92,3.87
Hongjiang,100,82.4,75,6.93,-51.07,0.05
Honiara,72,57.89,12,12.01,173.16,-35.17
Hualmay,87,54.7,1,4.7,-0.19,54.08
Humaita,43,49.18,0,2.26,-68.33,-34.61
Ianca,72,59.72,0,11.41,12.34,51.53
Igrim,73,63.88,38,12.01,-28.7,38.52
Ilave,98,38.11,100,3.4,-45.24,60.14
Ilovlya,76,47.84,100,5.82,6.91,62.91
Ilulissat,74,81.99,40,3.36,-78.04,18.26
Imbituba,83,71.6,98,4.7,-159.78,-21.21
Imeni Poliny Osipenko,72,69.8,0,10.29,-43.85,-19.77
Imst,52,44.6,0,9.24,133.88,-23.7
Inirida,82,72.83,0,14.03,12.37,-6.13
Inongo,55,88.57,1,10.29,-92.17,38.58
Iqaluit,34,96.31,1,26.4,-98.86,38.9
Isangel,42,82.98,75,2.24,-79.87,43.26
Itarema,75,46.4,75,11.18,88.39,69.49
Ixtapa,73,83.09,100,4.65,125.51,12.18
Jacareacanga,19,55.03,0,11.01,24.73,-34.0
Jamestown,72,57.45,0,6.93,-2.59,53.39
Jefferson City,83,75.87,0,1.77,14.57,32.47
Jiazi,77,63.99,0,2.75,-6.55,41.42
Jinka,70,86.0,40,16.11,-87.97,15.09
Jiuquan,44,64.49,29,3.49,150.17,59.7
Jos,74,81.95,40,3.36,-78.17,18.44
Joshimath,63,61.47,67,4.59,102.47,71.98
Jumla,24,67.64,0,11.99,98.49,39.73
Juneau,81,46.73,2,3.02,56.73,60.74
Kaarina,24,82.4,0,4.7,52.54,29.61
Kadingilan,100,57.56,1,6.73,17.87,52.29
Kahului,65,77.0,20,13.87,-174.35,-19.8
Kaitangata,81,46.76,40,11.41,6.12,62.58
Kalmunai,62,57.2,100,4.47,158.65,53.05
Kangaatsiaq,74,82.4,40,21.92,-59.52,13.22
Kapaa,73,68.36,99,11.41,38.17,49.58
Karaton,78,69.35,100,3.29,34.59,8.25
Kargasok,49,71.03,13,3.96,102.28,60.35
Karpathos,58,62.03,0,3.91,69.59,32.31
Karratha,35,68.45,0,2.8,79.91,45.41
Kathu,93,48.2,0,6.71,47.39,55.56
Katiola,44,60.28,93,4.7,72.24,42.52
Katsuura,77,84.53,62,10.76,119.85,4.8
Kavaratti,70,81.99,1,5.82,-90.5,36.06
Kavieng,76,78.7,100,2.44,126.58,7.45
Kayalpattinam,79,49.72,100,11.7,161.3,68.75
Kedougou,34,92.38,94,9.24,41.69,13.93
Ketchikan,87,57.43,1,3.49,-120.31,47.42
Khalkhal,83,81.41,53,10.98,-77.37,4.95
Khandbari,71,70.13,0,10.11,120.26,-9.65
Khandyga,66,70.29,63,5.03,-101.35,51.23
Khani,93,44.6,100,4.7,-37.64,65.61
Khasan,85,46.64,98,4.47,42.1,61.07
Khatanga,82,69.6,0,9.17,4.24,48.95
Khrystynivka,68,83.99,62,9.51,-77.06,26.54
Kikwit,90,78.21,77,7.58,150.67,-10.62
Kincardine,35,82.17,1,4.7,-73.36,41.14
Kirakira,79,49.91,100,20.11,106.27,45.76
Kirovskiy,86,76.5,100,4.63,-49.22,-1.53
Kitimat,30,66.6,90,8.05,-76.2,-13.71
Klaksvik,73,71.91,20,3.36,10.74,47.24
Kloulklubed,25,85.55,0,23.31,40.92,34.45
Kodiak,9,93.06,3,4.72,-3.98,22.68
Komsomolskiy,94,77.79,75,2.24,134.5,33.93
Kruisfontein,63,70.59,1,10.29,-121.92,36.62
Kudahuvadhoo,27,59.83,0,4.5,50.12,32.94
Kuito,58,77.74,1,6.93,-77.74,39.62
Kulhudhuffushi,94,61.2,58,8.66,81.92,50.63
Kungur,71,51.8,61,5.82,-46.03,60.72
Kununurra,37,54.79,0,1.07,17.48,-12.02
Kushima,54,78.84,75,4.7,-75.23,4.91
La Asuncion,62,53.51,39,5.32,79.57,30.57
La Ronge,81,81.13,99,16.28,-52.96,5.38
Labuhan,92,63.94,100,3.6,36.57,5.79
Lagoa,47,59.0,20,8.05,-115.79,60.82
Laguna,59,75.04,21,6.96,-86.92,14.68
Lamu,70,51.79,61,11.25,-53.46,-33.69
Lasa,55,87.8,20,8.05,-76.41,17.88
Lata,54,74.44,0,6.93,-3.88,36.75
Lavrentiya,80,78.55,61,13.11,-151.02,-16.7
Lazeshchyna,55,56.61,45,4.68,48.53,37.62
Lebu,46,73.55,6,4.03,108.01,61.28
Leningradskiy,41,73.76,61,1.77,123.94,53.99
Les Cayes,76,76.0,84,22.95,48.53,5.35
Les Escoumins,72,57.99,0,6.93,-2.98,53.41
Lillooet,80,61.09,7,1.83,89.53,53.45
Lincoln,54,59.33,0,5.21,78.49,30.69
Linjiang,71,79.56,85,16.89,-15.05,13.79
Liverpool,89,58.64,1,13.49,33.49,50.74
Livingston,77,62.6,20,3.36,-25.43,37.72
Lompoc,95,34.63,100,11.72,170.27,69.7
Longyearbyen,90,48.83,61,1.99,145.91,-41.05
Lorengau,86,35.59,0,8.75,-52.87,68.71
Lucea,50,51.8,44,8.05,18.72,63.29
Luderitz,90,37.73,97,6.93,14.52,66.4
Lusambo,58,70.7,23,3.2,-44.68,-17.45
Lyubim,53,75.65,0,4.7,12.48,41.89
Macapa,48,69.23,10,4.79,125.39,58.61
Mackay,18,59.0,0,6.93,-65.16,-18.93
Mackenzie,61,70.63,94,3.71,126.91,41.81
Mahebourg,54,52.85,18,10.47,-62.99,-40.81
Mananjary,51,75.11,78,5.79,100.22,64.27
Manati,70,89.6,40,11.41,-99.88,16.86
Mandalgovi,81,53.6,90,5.82,-71.34,-29.95
Manuk Mangkaw,100,53.6,90,3.36,-73.12,-36.72
Mao,62,70.61,0,24.09,32.06,-28.77
Mapiripan,40,74.18,66,5.12,96.39,61.68
Maple Creek,80,80.57,85,10.96,131.25,-0.86
Mar del Plata,94,48.19,100,6.44,-170.99,65.58
Maragogi,90,72.94,32,5.86,-42.02,-22.97
Marck,88,75.0,90,2.24,131.29,31.5
