,humidity,temp,clouds,wind_speed,longitude,latitude
Mareeba,33,72.99,75,3.36,-147.72,64.84
Margate,69,83.89,40,9.17,-156.47,20.89
Marginea,88,75.2,13,26.4,27.21,35.51
Marovoay,73,77.9,0,5.82,9.18,39.25
Marrakesh,15,91.4,1,29.97,-104.61,38.25
Marsh Harbour,50,73.37,60,0.58,18.82,-5.04
Marystown,81,42.8,40,16.11,-65.11,-43.3
Matara,69,64.55,38,9.22,-60.44,-26.79
Mataura,82,46.99,91,4.0,-53.11,48.65
Mayo,88,69.48,100,1.48,100.79,22.76
Mega,93,59.0,83,2.24,112.04,40.71
Mehamn,48,85.14,1,3.36,-83.4,41.91
Merauke,61,73.9,0,5.82,9.25,36.46
Meulaboh,91,54.63,89,16.67,31.9,54.43
Mitsamiouli,10,89.6,0,4.7,46.72,24.63
Mizdah,93,59.33,100,6.4,130.64,42.43
Monroe,81,47.05,82,2.86,61.86,59.17
Morant Bay,15,72.52,0,3.36,42.45,18.39
Morondava,83,73.4,20,8.43,115.22,-8.65
Motala,42,66.1,42,1.01,39.43,10.6
Mount Gambier,81,64.03,0,2.06,87.8,53.71
Mount Isa,94,74.05,75,12.75,133.23,35.55
Muana,82,77.74,22,7.85,114.59,-3.32
Mujiayingzi,86,77.65,93,8.14,122.67,11.0
Murakami,69,70.0,1,3.0,15.09,36.72
Murgab,93,54.34,1,3.62,36.91,38.25
Murmashi,95,60.35,93,9.66,81.83,51.99
Myski,81,42.8,40,16.11,-65.31,-43.25
Najran,29,52.43,34,3.11,-65.39,-26.05
Namatanai,38,74.36,36,9.24,134.54,60.42
Nanortalik,66,56.43,0,11.41,145.39,-37.84
Nantucket,44,71.56,0,6.93,7.36,48.08
Naron,93,49.98,90,3.36,-53.28,47.58
Narsaq,71,51.37,40,15.66,177.51,64.73
Necochea,87,60.8,40,6.93,-130.32,54.32
Nelson Bay,80,78.55,61,13.11,-151.5,-16.78
Nemuro,83,70.86,0,3.6,3.91,46.42
Nerja,74,76.89,20,3.36,106.1,-6.34
New Norfolk,68,64.4,75,12.75,-118.79,55.17
Ngunguru,84,53.01,0,1.66,66.31,56.65
Nguruka,60,61.45,80,5.14,-125.76,54.23
Nichinan,79,79.13,98,7.85,-15.56,12.71
Nikolskoye,63,76.23,0,8.46,44.28,-20.3
Nioro,96,53.68,100,12.57,132.03,47.24
Nogliki,100,58.3,20,7.47,152.14,-32.72
Nome,37,68.65,0,2.68,77.98,44.36
Norman Wells,77,71.5,99,1.5,101.72,26.59
North Bend,72,66.2,20,9.17,-16.33,33.08
Nouadhibou,73,77.0,75,19.46,-169.92,-19.06
Novyy Urgal,94,75.2,75,9.17,-5.1,8.14
Nuuk,59,58.27,35,15.5,26.19,59.1
Nyrob,88,76.21,0,5.82,13.08,38.15
Nyurba,83,74.59,75,2.24,126.98,37.57
Nyzhnya Duvanka,24,67.55,0,5.37,139.9,69.3
Ocampo,61,50.0,40,5.82,-68.52,63.75
Odesskoye,97,58.93,28,2.21,29.29,0.12
Olinda,28,71.6,75,9.17,-126.83,65.28
Omboue,77,65.21,75,12.75,-122.43,37.46
Oranjemund,51,76.44,20,4.7,-84.36,46.49
Orlik,82,62.6,0,6.93,-48.67,-28.24
Ormara,52,49.99,50,3.87,170.5,-45.87
Ornskoldsvik,52,43.11,21,4.12,-69.36,77.48
Ostersund,87,49.12,68,5.53,72.97,54.21
Ostrovnoy,65,61.9,58,27.36,135.86,-34.72
Paamiut,94,73.4,90,17.92,169.27,-19.55
Pachino,77,62.6,20,3.36,-25.67,37.73
Pacific Grove,15,103.18,63,5.64,-109.23,29.05
Padang,70,44.89,43,2.24,172.73,-43.15
Pajapan,100,50.0,100,13.87,-6.59,62.23
Palmares,100,57.2,40,3.36,118.58,-20.31
Pangai,76,41.26,0,8.25,78.7,67.47
Pangody,58,74.59,0,12.95,12.98,31.45
Panguna,88,65.3,32,9.1,-56.83,-26.98
Panhala,19,75.2,75,5.82,-135.9,63.59
Panzhihua,84,43.29,45,8.23,-54.34,-34.48
Paragould,73,82.21,64,4.47,100.36,-0.92
Parati,83,79.83,75,3.36,120.72,14.29
Paredon,100,51.8,0,6.93,-52.1,-32.03
Passa Quatro,88,54.83,76,14.94,32.43,53.86
Pauini,81,45.46,99,13.87,14.64,63.18
Petropavlovsk-Kamchatskiy,15,90.56,23,11.03,12.77,26.59
Pevek,78,80.84,15,7.9,96.13,4.14
Pisco,33,73.85,75,3.36,-147.8,64.86
Pizarro,85,45.0,1,3.36,147.06,-38.11
Plouzane,83,79.7,31,7.4,123.06,0.54
Pochinki,72,60.8,40,11.18,113.05,51.58
Ponta Delgada,78,78.67,1,5.82,-94.42,30.04
Ponta do Sol,62,51.75,100,3.78,52.15,65.44
Port Alfred,92,72.58,100,7.16,74.11,16.81
Port Augusta,68,77.8,17,1.41,-57.76,-6.22
Port Elizabeth,55,66.2,0,4.7,139.49,-20.73
Port Hardy,91,37.75,91,6.4,178.42,69.38
Port Hedland,87,60.66,90,8.05,-124.16,40.8
Port Lincoln,85,82.82,84,8.86,89.61,24.08
Port Shepstone,87,39.2,75,9.17,-51.19,68.82
Port-Gentil,97,67.48,100,4.92,47.83,-22.82
Porto Novo,72,63.45,1,14.99,-124.22,43.41
Pospelikha,55,64.4,90,6.93,-123.09,55.34
Praia,290,62.6,0,13.87,-81.27,-4.58
Presidencia Roque Saenz Pena,72,46.98,1,7.29,74.49,65.85
Prince Rupert,55,60.8,0,6.17,128.74,-15.77
Provideniya,95,59.17,98,2.75,-69.4,48.35
Pueblo,65,78.79,100,3.8,-42.21,-5.25
Pueblo Bello,30,79.59,20,17.22,-134.42,58.3
Puerto Ayacucho,30,72.02,2,4.07,55.19,45.32
Puerto Ayora,37,42.75,54,3.74,-69.64,-16.09
Puerto Escondido,94,73.4,20,4.7,8.78,-0.72
Puerto Madryn,85,76.0,1,6.6,-39.92,-2.92
Puerto del Rosario,82,62.77,93,6.24,133.51,45.09
Punta Arenas,89,40.77,3,12.82,-49.67,61.99
Qaanaaq,76,50.77,0,5.82,22.37,60.41
Qandala,72,55.87,75,2.24,-114.44,49.61
Qaqortoq,64,71.6,0,20.8,-17.03,20.93
Qasigiannguit,83,82.4,0,2.24,110.49,19.61
Qena,94,47.09,0,8.99,-55.98,-31.73
Quartucciu,97,42.3,62,1.68,-74.64,-11.26
Rapid Valley,83,78.96,90,1.12,115.24,5.28
Raub,89,77.24,100,6.15,-12.5,7.53
Rawson,39,82.56,20,4.7,-80.31,43.39
Ribeira Grande,88,52.29,56,7.63,80.87,59.06
Richards Bay,73,48.91,98,7.99,166.1,60.47
Rikitea,87,56.77,75,12.75,-0.14,50.82
Rio Grande,69,75.85,0,2.24,7.85,43.86
Riyadh,46,72.88,20,21.92,-111.04,45.68
Roald,47,70.05,90,6.93,-89.26,48.41
Roblin,80,77.92,100,9.24,76.21,20.68
Rocha,76,81.63,97,3.51,161.92,-10.46
Rome,95,53.57,2,4.7,-49.73,-29.34
Romny,71,57.2,90,8.05,-70.4,-23.65
Rorvik,49,70.02,0,4.79,103.75,57.27
Rosarito,46,63.36,90,10.29,-121.94,50.69
Rudnogorsk,94,76.06,75,10.29,140.92,37.8
Russell,63,63.72,0,5.01,-9.15,54.11
Ruteng,94,73.4,40,2.24,42.96,41.96
Sabang,39,78.8,40,9.17,61.97,37.5
Sahuaripa,77,45.76,37,4.45,167.72,-45.41
Saint George,78,81.92,100,15.93,-73.75,18.19
Saint-Francois,94,74.3,14,4.94,5.75,5.52
Saint-Philippe,88,68.0,0,4.7,-45.44,-23.68
Saint-Pierre,76,46.62,85,16.11,12.69,67.67
Saint-Raymond,55,87.8,40,6.93,-67.63,5.66
Sakaiminato,78,55.0,0,8.99,-58.02,-31.4
Salalah,91,59.08,22,1.92,-44.97,-22.39
Saldanha,86,39.94,85,23.31,27.85,71.03
Sale,58,70.34,89,3.53,31.04,-5.11
Salinas,98,64.78,10,5.3,-35.59,-8.68
Salinopolis,15,93.87,48,12.1,-105.17,27.69
Samarai,54,81.18,1,14.99,-103.15,44.06
San Cristobal,26,82.4,75,6.93,-128.61,54.52
San Jose,56,77.92,62,29.51,49.82,7.98
San Lorenzo,71,82.42,90,4.05,118.55,30.92
San Patricio,31,75.2,0,12.75,38.65,31.68
San Policarpo,72,71.73,16,5.26,120.46,-8.61
San Quintin,89,58.61,5,12.66,29.97,48.82
San Rafael,68,71.6,0,13.87,-13.86,28.5
San Vicente,78,73.17,75,16.11,57.76,-20.34
Santa Luzia,73,50.47,73,7.47,60.32,65.99
Santa Rosa,80,81.9,46,5.01,116.13,25.94
Sao Filipe,76,78.57,69,2.98,-67.0,-7.71
Sao Joao da Barra,37,69.8,0,8.95,43.98,49.31
Sarkand,75,75.8,100,2.91,81.82,7.42
Saryozek,77,62.6,20,3.36,-25.7,37.77
Saskylakh,87,62.08,90,4.7,-115.58,53.65
Satipo,82,58.61,1,3.15,46.8,-19.16
Sault Sainte Marie,85,78.71,99,9.95,105.8,11.08
Sechura,76,50.0,75,8.95,106.92,47.92
Sedhiou,70,60.35,99,9.64,114.88,40.77
Seoul,91,75.06,72,11.25,122.3,29.96
Sept-Iles,93,57.58,90,4.7,-114.33,48.41
Serenje,94,77.0,75,4.05,100.3,16.58
Severo-Kurilsk,50,47.2,87,10.36,-64.29,-36.62
Shemonaikha,81,42.8,40,16.11,-65.04,-42.77
Shenjiamen,63,70.04,100,3.83,118.35,63.29
Shikhazany,96,63.14,100,15.01,41.37,53.23
Shingu,93,62.44,8,1.61,83.82,55.47
Shiraz,93,53.96,75,10.29,-0.54,53.23
Shiyan,94,73.17,83,4.09,-1.75,4.89
Shumyachi,93,61.54,5,3.0,153.09,-26.53
Simao,84,45.11,100,3.11,166.44,68.06
Sinnamary,97,65.03,100,1.83,14.55,5.88
Sisimiut,56,55.99,0,11.01,23.05,-27.7
Sitka,97,39.44,100,14.58,39.51,68.05
Skovorodino,80,37.78,0,22.15,-53.46,68.31
Slupca,98,52.33,51,4.12,24.42,48.27
Sobolevo,86,41.0,75,17.22,18.96,69.65
Soc Trang,37,54.02,0,2.86,16.94,-12.38
Sola,56,73.4,75,13.87,27.47,45.13
Soma,74,86.0,75,8.05,159.96,-9.43
Sorland,74,65.07,97,3.44,33.8,-3.17
Sorong,93,51.8,100,10.29,-1.35,60.4
Sosnovka,85,57.0,32,5.99,174.5,-35.62
Sosva,76,48.99,100,11.01,-58.74,-38.55
Souillac,85,36.05,91,25.14,-53.67,66.94
Soyo,45,70.78,0,7.9,108.35,57.84
Stantsionno-Oyashinskiy,66,89.6,0,4.7,71.77,30.68
Storforshei,49,71.17,1,12.75,-121.66,36.67
Suntar,87,60.41,30,9.35,38.72,7.93
Svay Rieng,91,67.73,100,2.51,8.9,9.92
Svetlaya,82,57.2,75,6.93,-127.42,50.7
Svetlogorsk,89,77.58,93,12.64,143.21,-9.07
Swellendam,82,76.57,99,6.78,-12.19,12.56
Tabursuq,82,50.13,100,10.2,40.69,58.36
Tacuarembo,81,48.94,78,1.34,102.37,35.77
Taggia,78,73.2,75,16.11,57.66,-20.01
Tahe,82,62.82,90,11.41,-66.12,43.84
Takoradi,88,72.66,75,8.05,32.53,34.92
Talara,46,91.0,12,18.99,-99.65,37.17
Talas,100,80.6,40,4.7,105.98,9.6
Talcahuano,61,82.64,81,3.27,-100.35,18.62
Talnakh,91,59.2,0,15.1,30.97,49.08
Taoudenni,64,51.39,85,8.14,179.32,63.05
Tarko-Sale,94,78.8,100,5.82,99.18,10.5
Tasiilaq,53,59.83,80,3.58,88.13,47.83
Tazovskiy,96,45.5,51,6.89,56.94,57.43
Te Anau,70,83.47,17,7.02,72.89,2.67
Ternate,84,78.34,75,18.16,132.75,-5.67
Terrace,41,72.9,0,8.79,131.98,60.89
Terrasini,76,53.6,90,4.47,59.15,53.14
Tevaitoa,96,74.48,100,5.06,120.52,17.54
Tezu,22,91.4,0,4.65,32.72,26.16
Thompson,97,71.44,97,4.97,96.16,27.93
Thunder Bay,73,72.79,81,12.75,145.42,-16.99
Tiksi,83,81.41,54,11.07,64.64,25.21
Tilichiki,81,74.2,100,7.14,22.78,10.3
Tocopilla,58,72.68,95,1.86,117.65,62.16
Tomatlan,74,83.23,17,10.92,73.07,6.62
Torbay,93,44.55,0,0.58,-70.05,-26.39
Torres,79,62.8,35,1.99,46.05,-18.77
Touros,18,79.72,0,8.68,135.58,62.65
Trelew,58,48.94,100,17.69,-60.28,-38.38
Tres Arroyos,63,85.77,6,6.78,-105.25,19.93
Tromso,93,37.4,0,4.47,32.82,68.82
Tsiroanomandidy,12,96.8,0,9.17,32.9,24.09
Tual,58,75.35,34,18.84,40.07,1.75
Tuatapere,86,48.26,50,6.53,71.71,51.74
Tuktoyaktuk,83,80.6,75,2.24,-52.33,4.94
Tura,67,76.5,87,2.77,124.91,7.6
Turayf,79,90.82,11,2.24,54.37,24.47
Udachnyy,98,72.76,100,3.6,-12.83,10.08
Ulaanbaatar,58,78.97,100,29.17,50.81,9.49
Upernavik,70,87.8,40,6.93,-97.07,15.86
Ushuaia,87,56.08,90,9.17,-66.38,50.2
Ust-Maya,68,56.02,0,5.1,32.65,-13.64
Ust-Tsilma,100,59.43,1,4.7,-8.15,43.52
Uvinza,58,59.0,32,17.22,141.45,-31.97
Uyuni,73,70.0,1,1.01,15.94,39.52
Vaini,53,63.09,49,2.84,132.56,51.07
Vakhrushev,68,69.8,40,8.05,-7.99,31.63
Vanavara,79,82.84,79,9.89,147.27,-2.02
Vao,52,88.25,1,8.05,-92.2,37.83
Vardo,100,42.8,75,13.87,121.89,-33.86
Velsk,55,86.0,40,13.87,-87.96,14.25
Verkhnyaya Inta,86,66.01,13,14.05,-80.82,-5.56
Victoria,82,73.73,90,1.97,18.29,-1.93
Viedma,81,65.23,100,16.31,146.27,-20.07
Vila Franca do Campo,94,75.2,40,3.36,-35.46,-5.2
Vila Velha,85,79.52,97,4.68,121.11,13.8
Villa Rica,76,78.79,83,5.55,78.12,8.57
Visnes,82,53.78,0,3.04,44.7,38.23
Waingapu,89,55.64,74,2.26,87.21,27.38
Waipawa,72,41.15,39,2.91,88.52,28.28
Wajima,78,71.6,0,12.75,-54.63,-20.51
Wajir,82,52.52,100,2.35,159.24,61.92
Walvis Bay,96,68.0,96,1.83,15.14,4.12
Wana,11,89.6,1,23.04,-108.74,35.53
Warri,98,60.88,100,0.85,93.82,27.54
Warrington,71,65.66,0,1.23,30.39,-5.1
Waynesville,66,50.54,0,10.29,-65.37,-24.93
Wellington,90,49.63,4,3.69,82.18,29.28
Wenatchee,97,75.74,100,3.36,90.4,26.47
Were Ilu,75,82.03,95,3.31,155.48,-6.32
Westport,66,87.8,40,2.24,-76.53,8.2
Whitefish,40,89.92,1,5.82,-82.53,33.19
Whithorn,96,59.18,46,5.06,48.57,-17.01
Yalutorovsk,78,71.6,0,3.36,19.67,41.76
Yar-Sale,88,77.0,75,4.7,135.99,33.72
Yarmouth,88,63.9,90,4.7,-71.84,46.89
Yellowknife,70,50.54,56,3.06,64.42,63.19
Yerbogachen,89,65.0,84,3.78,34.53,10.07
Zhangjiakou,94,78.94,75,12.75,-71.08,19.55
Zhigansk,33,86.86,1,4.7,-74.16,40.86
Zholymbet,77,57.9,90,5.82,-122.76,45.42
Zhuhai,80,61.0,100,10.63,118.78,42.12
Ziro,66,50.0,0,10.29,25.73,62.6
Ziway,85,52.09,97,1.05,29.48,-3.48
Zlitan,55,63.99,0,10.71,143.14,51.8
Zvenyhorodka,73,71.6,20,4.7,46.64,-16.11
